Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Has Promotion,Age Group,Gender Binary,Subscription Status Binary,Has Promotion Binary
1,55,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,14,Venmo,Fortnightly,Yes,Middle age (50-64),1,1,1
2,19,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,2,Cash,Fortnightly,Yes,Young Adults (18-29),1,1,1
3,50,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,23,Credit Card,Weekly,Yes,Middle age (50-64),1,1,1
4,21,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,PayPal,Next Day Air,49,PayPal,Weekly,Yes,Young Adults (18-29),1,1,1
5,45,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,31,PayPal,Annually,Yes,Adults (30-49),1,1,1
6,46,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,14,Venmo,Weekly,Yes,Adults (30-49),1,1,1
7,63,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,49,Cash,Quarterly,Yes,Middle age (50-64),1,1,1
8,27,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,19,Credit Card,Weekly,Yes,Young Adults (18-29),1,1,1
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,8,Venmo,Annually,Yes,Young Adults (18-29),1,1,1
10,57,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,4,Cash,Quarterly,Yes,Middle age (50-64),1,1,1
11,53,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,26,Bank Transfer,Bi-Weekly,Yes,Middle age (50-64),1,1,1
12,30,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,10,Bank Transfer,Fortnightly,Yes,Adults (30-49),1,1,1
